canonical_smiles,molwt
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,771.666
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,850.562
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,897.562
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,751.545
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,830.441
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,877.441
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,705.498
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,784.394
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,831.394
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,711.527
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,790.423
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,837.423
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2ccccc21,532.546
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(Br)ccc21,611.442
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(I)ccc21,658.442
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2ccccc21,560.6
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(Br)ccc21,639.496
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(I)ccc21,686.496
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCN)c2ccccc21,575.615
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCN)c2ccc(Br)cc21,654.511
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCN)c2ccc(I)cc21,701.511
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCO)c2ccccc21,576.599
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCO)c2ccc(Br)cc21,655.495
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCO)c2ccc(I)cc21,702.495
CC[N+](CC)(CC)CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2ccccc21,660.785
CC[N+](CC)(CC)CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(Br)ccc21,739.681
CC[N+](CC)(CC)CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(I)ccc21,786.681
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCS(=O)(=O)O)c2ccccc21,640.664
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCS(=O)(=O)O)c2ccc(Br)cc21,719.56
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(CCCCS(=O)(=O)O)c2ccc(I)cc21,766.56
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(Cc2ccccc2)c2ccccc21,594.617
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(Cc2ccccc2)c2ccc(Br)cc21,673.513
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(Cc2ccccc2)c2ccc(I)cc21,720.513
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(Cc2ccsc2)c2ccccc21,600.646
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(Cc2ccsc2)c2ccc(Br)cc21,679.542
CC1(C)/C(=C/C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCCN)C2=O)N(Cc2ccsc2)c2ccc(I)cc21,726.542
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(Br)ccc4[n+]3CCCCN)C2=O)C(C)(C)c2ccccc21,611.442
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(Br)ccc4[n+]3CCCCN)C2=O)C(C)(C)c2cc(Br)ccc21,690.338
